timestamp,live_temp,humidity,wind,pressure,erm_flux,beta,next_predicted_1h,next_predicted_3h,next_predicted_6h,next_predicted_12h,next_predicted_24h,next_predicted_48h,tomorrow_max,tomorrow_min,improvement_pct
2026-03-31T19:10:53.741893,21.9,66,9.7,1003.4,0.0,0.01,21.9,21.9,21.9,21.9,21.9,21.9,21.8,13.1,0.0
2026-03-31T19:14:42.132540,21.9,66,9.7,1003.4,0.0,0.01,21.9,21.9,21.9,21.9,21.9,21.9,21.8,13.1,0.0
2026-03-31T19:26:54.984214,22.6,64,13.3,1003.3,0.0,0.01,22.6,22.6,22.6,22.6,22.6,22.6,21.8,13.1,0.0
2026-03-31T19:27:59.232111,21.4,64,13.3,1003.3,0.0,0.01,21.4,21.4,21.4,21.4,21.4,21.4,21.8,13.1,0.0
2026-03-31T19:37:34.839264,21.6,62,7.9,1003.3,0.0,0.01,21.6,21.6,21.6,21.6,21.6,21.6,21.8,13.1,0.0
2026-03-31T19:42:21.765153,21.6,62,7.9,1003.3,0.0,0.01,21.6,21.6,21.6,21.6,21.6,21.6,21.8,13.1,0.0
2026-03-31T19:43:28.304773,21.6,62,7.9,1003.3,0.0,0.01,21.6,21.6,21.6,21.6,21.6,21.6,21.8,13.1,0.0
2026-03-31T19:53:34.822994,21.7,60,9.0,1003.3,0.0,0.01,21.7,21.7,21.7,21.7,21.7,21.7,21.8,13.1,0.0
2026-03-31T20:00:46.399677,22.4,59,9.7,1003.3,0.0,0.01,22.4,22.4,22.4,22.4,22.4,22.4,21.8,13.1,0.0
2026-03-31T20:06:43.250608,22.4,61,9.7,1002.8,0.0,0.01,22.4,22.4,22.4,22.4,22.4,22.4,21.8,13.1,0.0
2026-03-31T20:08:31.144658,22.4,61,9.7,1002.8,0.0,0.01,22.4,22.4,22.4,22.4,22.4,22.4,21.8,13.1,0.0
